Username,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Total | 103209
17191917,6,2,2,6,0,2,2,,20
17580511,7,8,2,7,3,5,5,6,43
17282303,7,2,1,0,2,3,6,,21
17431529,1,5,4,8,4,6,5,,33
17459349,6,6,4,7,2,4,6,1,36
17580827,3,4,2,1,1,1,2,2,16
17523022,6,8,2,8,6,4,8,2,44
17494784,4,2,2,7,1,4,6,,26
17494348,6,4,2,6,1,4,0,1,24
16885514,3,6,2,7,4,4,4,3,33
17491815,8,4,2,8,1,3,6,2,34
17394390,7,2,2,7,3,4,4,1,30
17492254,7,6,2,8,3,3,8,2,39
17147545,1,2,1,3,1,1,,,9
17357744,6,8,2,2,2,2,3,,25
17223993,6,6,2,7,1,3,1,,26
17228608,7,6,4,6,0,3,4,,30
17010548,6,8,2,7,1,4,7,6,41
17457138,7,4,2,,,,3,,16
17461984,2,4,4,4,0,3,0,1,18
16968543,8,4,2,,2,4,3,1,24
17371722,8,6,4,4,3,4,3,4,36
17453602,7,8,4,,1,,0,,20
17208866,3,6,2,6,,4,4,2,27
17480736,8,8,2,6,6,4,7,4,45
17527952,6,6,2,6,2,1,3,,26
17251059,5,6,2,7,1,4,5,,30
17302470,7,6,2,1,,4,3,,23
17249948,7,4,2,5,4,4,5,1,32
17473213,8,6,2,7,2,4,4,,33
,,,,,,,,,0
17353221,6,8,2,8,4,1,1,,30
16989492,8,3,2,8,4,3,1,1,30
17266749,7,6,2,4,2,4,3,5,33
17818155,7,7,2,8,2,6,3,2,37
17495006,8,4,4,7,3,4,6,1,37
16777776,3,5,2,,1,4,1,,16
16875672,8,7,2,7,6,4,6,1,41
17506872,2,2,0,0,0,0,0,1,5
17439884,7,5,2,,4,2,5,1,26
17800020,7,6,2,4,2,4,4,,29
17012834,3,6,2,2,0,3,5,,21
17003025,7,4,2,7,3,4,7,2,36
17818403,2,4,2,,1,2,2,2,15
17816205,6,5,4,3,1,3,4,3,29
17209999,5,6,1,,2,0,1,1,16
17649227,7,5,2,3,7,6,8,,38
17193926,7,7,2,4,3,3,4,2,32
17425689,7,8,4,8,4,2,6,,39
16955686,7,6,2,6,1,4,3,0,29
17196736,6,4,2,5,1,2,6,1,27
17504788,3,6,2,,1,4,3,1,20
17219495,3,7,2,,4,4,1,1,22
17038371,1,5,4,6,2,3,5,3,29
17253938,6,8,2,4,3,0,8,6,37
17537041,7,5,2,3,1,2,1,,21
16713387,6,4,2,7,1,2,6,,28
17122955,1,6,4,4,1,5,7,,28
17469425,2,4,4,7,1,4,2,1,25
17562599,6,6,4,8,5,4,2,,35
17257305,8,6,2,8,1,3,6,1,35
16972504,1,6,4,2,1,4,1,,19
17429984,7,2,2,7,4,3,7,0,32
17492892,7,8,4,7,1,3,7,1,38
17815127,7,6,2,8,4,6,4,1,38
17244392,6,6,2,7,2,6,7,,36
17217170,5,5,2,3,1,4,1,,21
17124384,6,4,4,1,,2,6,0,23
17691882,8,6,2,7,5,6,5,2,41
17835783,8,6,4,6,,4,6,,34
17063496,7,5,4,5,2,2,3,1,29
17295097,7,6,2,5,3,6,5,0,34
17198543,7,6,2,7,2,4,6,1,35
17522175,6,5,2,7,7,2,4,3,36
17519898,6,7,2,8,4,3,3,,33
17488671,8,6,4,8,4,5,7,,42
17211273,7,7,2,7,2,4,4,2,35
17483575,6,4,4,3,1,3,1,1,23
17281267,6,2,4,3,3,2,4,1,25
17222352,7,6,2,5,0,1,3,,24
17216092,1,6,2,4,0,4,3,,20
17564700,6,6,4,7,4,4,3,1,35
17649155,7,2,2,,0,4,3,,18
17433668,6,5,4,2,2,5,1,1,26
17250160,5,4,2,6,0,4,3,1,25
17231233,6,4,4,7,3,2,4,1,31
17252137,5,4,2,5,2,3,4,,25
17486705,7,7,2,8,7,5,5,1,42
17250391,7,6,4,7,3,4,7,2,40
17575472,6,2,1,1,0,4,3,,17
17410175,7,7,2,8,7,6,7,4,48
16792959,7,4,4,6,7,,,,28
17304261,5,2,2,,2,4,1,,16
17191816,4,2,2,8,2,4,8,,30
17517270,7,4,1,6,2,4,3,,27
17472089,7,4,2,7,4,4,4,,32
17433219,7,5,2,5,3,4,3,1,30
17240055,6,5,4,7,3,4,2,1,32
17457095,6,2,4,5,1,3,6,,27
17275301,1,4,2,2,,1,6,1,17
16993655,5,6,2,8,0,3,,,24
17360210,2,6,2,,,3,4,,17
17373425,,6,2,,4,,1,1,14
13741932,5,7,2,4,4,0,8,1,31
17483360,7,4,2,5,2,4,4,2,30
,,,,,,,,,0
17188180,7,7,2,1,2,,1,,20
17242266,8,6,2,6,3,2,8,5,40
17465221,7,4,2,2,2,4,1,,22
10268780,7,6,2,8,8,6,7,6,50
17196589,6,8,2,8,3,6,5,1,39
17234838,6,6,4,6,4,4,4,2,36
17455132,7,3,2,5,2,4,8,1,32
17236238,6,4,2,4,2,3,3,1,25
17429809,8,6,2,2,2,4,6,3,33
17647465,2,4,2,,2,0,1,,11
17533531,7,2,2,4,2,2,3,2,24
16374746,7,7,2,4,2,3,4,1,30
17479992,7,2,2,8,2,3,3,1,28
16961845,7,4,2,8,4,3,6,3,37
17537937,7,4,2,5,3,3,6,0,30
17231741,8,6,2,8,2,2,1,1,30
16997194,5,4,1,3,2,2,1,2,20
17304098,2,4,2,3,0,0,0,,11
17270595,7,6,2,8,5,2,5,,35
17282169,4,7,3,3,6,1,6,6,36
17509611,7,8,2,4,1,4,0,,26
16985780,6,4,2,1,2,3,1,,19
17359506,5,2,4,6,,3,8,,28
17212683,1,4,2,6,0,3,4,1,21
17239354,7,6,2,7,1,4,2,,29
17013707,6,7,2,3,0,3,5,,26
17582908,7,7,2,8,3,5,4,,36
17502779,8,7,4,8,4,5,6,1,43
17267872,6,4,2,8,4,4,5,,33
16731442,6,6,4,7,4,2,5,1,35
17527330,2,7,2,4,1,2,0,2,20
17306472,7,6,2,1,1,1,1,1,20
17483302,7,4,2,8,2,4,8,1,36
16679535,6,6,2,6,2,2,7,1,32
17801472,7,4,2,7,1,4,6,1,32
17575788,6,5,2,5,1,4,7,0,30
17123017,6,6,2,7,1,4,8,2,36
17482080,7,2,2,7,0,4,6,1,29
16901966,8,4,2,8,5,4,7,,38
16738629,7,4,2,6,4,4,4,1,32
17282316,4,8,2,,1,4,3,,22
17420642,7,4,2,4,2,3,7,,29
17579490,6,5,2,6,5,,3,,27
17189444,6,4,0,5,2,0,4,1,22
16733406,8,4,2,1,0,3,2,2,22
17344207,1,7,2,5,2,3,4,0,24
17371810,5,8,2,4,3,5,5,,32
17072999,5,4,4,7,0,1,4,2,27
17256429,7,7,2,7,5,3,3,0,34
16810105,6,6,2,7,1,4,3,,29
17484552,7,4,2,3,2,3,5,0,26
17484624,7,6,2,7,4,4,7,,37
17207052,5,6,2,,3,4,5,1,26
17277554,6,6,2,7,4,3,5,1,34
17448358,6,6,2,8,4,6,3,6,41
16533716,6,6,2,1,7,6,1,1,30
17219176,6,8,2,2,1,4,2,0,25
17303721,3,6,2,,5,,3,,19
17118750,6,4,1,2,2,2,1,1,19
17508360,1,6,2,6,2,4,5,,26
17377052,2,8,2,7,5,3,3,1,31
17278384,7,6,2,8,2,4,1,1,31
17120845,6,4,4,1,0,2,5,,22
17310459,6,5,4,8,1,4,8,2,38
17007450,6,4,2,0,0,3,2,,17
17575140,3,6,1,1,2,1,2,3,19
17802622,5,4,2,7,3,5,1,1,28
17491916,7,6,2,7,4,2,1,2,31
17517397,2,5,2,6,0,4,7,,26
17496009,8,5,2,7,4,4,5,,35
17511793,8,6,3,7,5,6,7,1,43
17484451,7,8,4,5,2,4,6,2,38
17220620,7,6,2,7,4,3,1,2,32
17150024,6,6,2,6,8,5,7,,40
16734467,7,4,1,1,0,,1,1,15
17821227,8,8,2,6,6,4,7,6,47
17807311,7,7,4,4,2,4,2,,30
16665037,7,6,2,6,,3,3,1,28
16705337,6,8,2,8,4,4,4,1,37
17244161,7,6,2,7,2,3,7,,34
16961366,7,4,2,6,0,4,3,0,26
17494638,6,8,2,7,1,2,3,2,31
17496458,8,0,2,4,,,1,,15
16960480,8,7,2,,2,4,7,,30
16989274,7,7,4,4,2,2,3,6,35
17462583,6,4,4,7,2,4,4,1,32
17425490,6,7,2,7,6,4,7,5,44
